db_name,operation,count,total_time_micros,avg_time_micros,throughput_ops_per_sec
RocksDB,delete,10,171,17.1,58479.53216374268
RocksDB,range,10,456,45.6,21929.824561403508
RocksDB,put,1000,7163,7.163,139606.31020522126
RocksDB,get,100,660,6.6,151515.15151515152
RocksDB,delete,10,144,14.4,69444.44444444444
RocksDB,range,10,410,41,24390.243902439026
RocksDB,put,1000,7071,7.071,141422.7124876255
RocksDB,get,100,657,6.57,152207.00152207
RocksDB,delete,10,148,14.8,67567.56756756756
RocksDB,range,10,416,41.6,24038.46153846154
RocksDB,put,1000,7109,7.109,140666.76044450697
RocksDB,get,100,665,6.65,150375.93984962406
RocksDB,delete,10,153,15.3,65359.477124183
RocksDB,range,10,421,42.1,23752.96912114014
RocksDB,put,1000,1881,1.881,531632.110579479
RocksDB,get,100,178,1.78,561797.7528089888
RocksDB,delete,10,36,3.6,277777.77777777775
RocksDB,range,10,119,11.9,84033.61344537814
RocksDB,put,1000,6107,6.107,163746.52038644179
RocksDB,get,100,581,5.81,172117.03958691913
RocksDB,delete,10,123,12.3,81300.81300813008
RocksDB,range,10,379,37.9,26385.224274406333
RocksDB,put,1000,6027,6.027,165920.02654720424
RocksDB,get,100,568,5.68,176056.33802816903
